,Avatar (2009),"Lion King, The (1994)","Fast and the Furious, The (2001)",Toy Story (1995),Jurassic Park (1993),Twilight (2008),Pride & Prejudice (2005),"Notebook, The (2004)",17 Again (2009),"Twilight Saga: Eclipse, The (2010)",Aladdin (1992),Beauty and the Beast (1991),Mrs. Doubtfire (1993),Toy Story 2 (1999),"Hangover, The (2009)",Harry Potter and the Goblet of Fire (2005),Total
Jumanji (1995),0.892293114863121,2.4056895166574646,0.7428016197147296,1.1566325220199094,1.7895187960378607,0.2482812818521658,0.4567956188216275,0.5663619214097964,0.43988580261219534,0.26380796835116294,1.9205576060308167,1.5534224717131144,1.3295313825141792,1.3782109206830808,0.4385196340657013,0.5586014982229331,16.14091167556986
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),1.4306393942538773,1.3446388620197345,1.1618230510215437,1.0916632092276992,0.8682846610554676,0.7709346347168735,0.9276483460747182,0.5221889175594391,0.6521006318799881,0.3839800614101144,1.417223873533429,1.102163226919394,0.7841533245968477,1.6590554977601615,0.5621391505222433,1.3713713643294074,16.05000820688094
"Little Mermaid, The (1989)",0.6270144915341159,2.0966174878487136,0.899863741736599,1.490581863587128,0.9285161816694062,0.23684086406813692,0.7989877296768972,0.4373509325171681,0.5325633176816404,0.25242110607777657,1.9553747105524968,1.4640865895865094,0.9498866457412242,1.9817527359093483,0.4210221343862032,0.6633290574725389,15.736209590045904
Finding Nemo (2003),1.467977273509776,1.4795163256253092,1.116037824612764,1.4646696903902776,0.6849278506862004,0.6491890552875496,0.8618324175516635,0.7407813584059384,0.9752195149078267,0.34544709159547654,0.9974267294435218,0.7796722036269289,0.7530085155334365,1.8172755925918713,0.7230837181083272,0.8789914499364969,15.735056611813365
Shrek (2001),1.1985268679030976,1.4731818435174282,1.1445137452930094,1.644333078546951,0.8256524662090107,0.6303758866846225,0.7001165774844971,0.6410962387721328,0.6416031488935061,0.3136766294699747,1.1869527892064864,0.8939324530638258,0.647755621956257,2.1617755174411677,0.6086828365243017,0.7638229979367559,15.475998698903025
Hook (1991),0.9502795281397188,1.444882013617189,0.9593627990085071,1.2733946412498096,1.0954869963691798,0.6162754088929779,0.7575425289068284,0.6132482482400922,0.6717927841364226,0.5344571795805434,1.3657062101040085,1.0561229180414877,1.0185408352754877,1.702714632603962,0.54953245136707,0.8158709709578914,15.425210146491178
Pirates of the Caribbean: Dead Man's Chest (2006),1.6685303371446558,1.2759016116868187,1.047210251802028,1.0604108419326708,0.7012585424778328,0.8900962213466085,0.8906151671166135,0.5442743057079471,0.9598235327174967,0.46160567148307324,1.0895669089312783,0.7727264261411947,0.6645335052682002,1.4382733461008606,0.7977039060427844,1.1496395204765506,15.412170096376613
Shrek 2 (2004),1.1790980649444343,1.4918820304735778,1.1309223550925036,1.4246017445979926,1.0382090990370545,0.4387412250288152,0.783339662887057,0.5716656139978733,0.5389533917941152,0.22485351805435522,1.4079221565994566,0.928129196804316,0.8679211136125644,1.9850857121883876,0.5237648155427485,0.8225271715131331,15.357616872168386
Home Alone (1990),0.6078970057749956,2.2075834177878315,0.7321549185885753,1.2249901889061012,1.7009988734794446,0.33782843422943676,0.5626677715984336,0.1803693550379704,0.4708460697678376,0.2369955837246399,1.8956577563507182,1.3724415265588206,1.5296205473590536,1.24012993355789,0.4155314021907722,0.5346669027385524,15.250379687651073
Star Wars: Episode III - Revenge of the Sith (2005),1.832733934008894,1.1596892387162732,1.1744755356238707,1.2192403276310384,0.9948927533074619,0.7476457592442569,0.8281070023356094,0.43787749855102065,0.6877076753467097,0.23548642393539088,1.171032668433456,0.6909691762178427,0.640876667969764,1.8161231355372518,0.6494963046335825,0.9091352974181249,15.195489398910548
300 (2007),1.6615062053020397,1.1947796216649236,1.1493892366540368,0.9075066083714265,0.8842018156664714,1.0592346196294513,0.6046109620862942,0.7942556297627175,0.8576822210549977,0.3819809527315381,1.102840941401928,0.5415811711573355,0.6337045835134191,1.5077761636307674,1.008403549758092,0.8012725978818283,15.090726880267267
Harry Potter and the Chamber of Secrets (2002),1.4583218082760467,1.1641422406277149,1.079385901358976,0.9301387383873739,0.6491185096700577,0.8372288095893806,1.0137301555830687,0.6526292593606785,0.733804097256624,0.41478017592773025,1.1774571877062758,0.8065132419286029,0.6697636068152867,1.5200168324842984,0.5841225861317623,1.3475221684634653,15.038675319567343
Pirates of the Caribbean: The Curse of the Black Pearl (2003),1.6776496600609347,1.359454340906931,1.3307779030462872,1.2108000343500416,0.6393773593988876,0.792047492038206,0.6999222449836826,0.47685040547632246,0.7544284567101256,0.29620268989143667,0.9785585507374267,0.6330171832967906,0.62894195070362,1.7939420325003828,0.7909777145428657,0.9289484189813003,14.99189643762524
Bruce Almighty (2003),1.3936460387334708,1.2470631908114127,1.4338804619826875,0.9044870399527966,0.9110602800571581,0.7072451666053744,0.4807693172869669,0.7727634143346809,0.6353191900972015,0.3115014531873089,1.2543412637408646,0.9949624399109085,0.745288410491259,1.4691382522600094,0.853050402119257,0.8728628535281349,14.987379175099491
Snow White and the Seven Dwarfs (1937),0.3330425968956841,2.332144459839841,0.644793462219751,1.1763908275185107,1.2646265078836345,0.19546218762124393,0.56893459490777,0.34431941316107556,0.4418348964876079,0.11483466967652553,2.114596726401283,2.032443613891113,1.1757921432171918,1.5588103399305722,0.23717872192380374,0.4270016215790789,14.962206783154688
"Monsters, Inc. (2001)",1.6221005335070984,1.2345947120674785,1.1625265396337328,1.6540663939655076,0.7119610639172661,0.35476490217405793,0.6692137901726982,0.5588846952263571,0.6305508214041557,0.19152043348303285,1.1038202095831955,0.8403766388140513,0.5749087012483541,2.1607145092579105,0.6202327376153822,0.8293513955644319,14.91958807763471
Cars (2006),1.6231716032395098,1.1090260915698726,0.9594606092055252,1.117074243701245,0.8925079599231145,0.6696198905929311,1.0163509897209124,0.5464605017315953,0.4832379984251839,0.4403098325155101,1.1341603759665504,0.7378457478122963,0.7118757644140968,1.8481996034689139,0.7337941340388516,0.8859083004963281,14.909003646822438
"Mask, The (1994)",0.38539292579253553,2.590955145419647,0.6049401958566951,1.5177467672515026,2.052485515074935,0.08161158114047702,0.3506985572026896,0.1776335770930748,0.2112430277465866,0.12688629783796804,2.075902232184691,1.6158590893061946,1.4167203509910598,0.9578189265400693,0.3021188209328753,0.41943115285554555,14.887444163226546
